"HS96","HS96part","HS02","HS02part","Comment"
"0403.10",0,"0403.10",0,
"0403.90",0,"0403.90",0,
"0404.10",0,"0404.10",0,
"0404.90",0,"0404.90",0,
"0405.10",0,"0405.10",0,
"0405.20",0,"0405.20",0,
"0405.90",0,"0405.90",0,
"0406.10",0,"0406.10",0,
"0406.20",0,"0406.20",0,
"0406.30",0,"0406.30",0,
"0406.40",0,"0406.40",0,
"0406.90",0,"0406.90",0,
"0407.00",0,"0407.00",0,
"0408.11",0,"0408.11",0,
"0408.19",0,"0408.19",0,
"0408.91",0,"0408.91",0,
"0408.99",0,"0408.99",0,
"0409.00",0,"0409.00",0,
"0410.00",0,"0410.00",0,
"0501.00",0,"0501.00",0,
"0502.10",0,"0502.10",0,
"0502.90",0,"0502.90",0,
"0503.00",0,"0503.00",0,
"0504.00",0,"0504.00",0,
"0505.10",0,"0505.10",0,
"0505.90",0,"0505.90",0,
"0506.10",0,"0506.10",0,
"0506.90",0,"0506.90",0,
"0507.10",0,"0507.10",0,
"0507.90",0,"0507.90",0,
"0508.00",0,"0508.00",0,
"0509.00",0,"0509.00",0,
"0510.00",0,"0510.00",0,
"0511.10",0,"0511.10",0,
"0511.91",0,"0511.91",0,
"0511.99",0,"0511.99",0,
"0601.10",0,"0601.10",0,
"0601.20",0,"0601.20",0,
"0602.10",0,"0602.10",0,
"0602.20",0,"0602.20",0,
"0602.30",0,"0602.30",0,
"0602.40",0,"0602.40",0,
"0602.90",0,"0602.90",0,
"0603.10",0,"0603.10",0,
"0603.90",0,"0603.90",0,
"0604.10",0,"0604.10",0,
"0604.91",0,"0604.91",0,
"0604.99",0,"0604.99",0,
"0701.10",0,"0701.10",0,
"0701.90",0,"0701.90",0,
"0702.00",0,"0702.00",0,
"0703.10",0,"0703.10",0,
"0703.20",0,"0703.20",0,
"0703.90",0,"0703.90",0,
"0704.10",0,"0704.10",0,
"0704.20",0,"0704.20",0,
"0704.90",0,"0704.90",0,
"0705.11",0,"0705.11",0,
"0705.19",0,"0705.19",0,
"0705.21",0,"0705.21",0,
"0705.29",0,"0705.29",0,
"0706.10",0,"0706.10",0,
"0706.90",0,"0706.90",0,
"0707.00",0,"0707.00",0,
"0708.10",0,"0708.10",0,
"0708.20",0,"0708.20",0,
"0708.90",0,"0708.90",0,
"0709.10",0,"0709.10",0,
"0709.20",0,"0709.20",0,
"0709.30",0,"0709.30",0,
"0709.40",0,"0709.40",0,
"0709.51",1,"0709.51",0,
"0709.51",1,"0709.59",0,
"0709.52",0,"0709.52",0,
