5 - Matrículas;;;;;;;;;;;;;;;;;
5.1 - Matrículas em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Matrículas em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
;;Comun/Confes;446;446;. ;. ;. ;. ;. ;. ;. ;446;446;. ;. ;. ;. 
Pará;;;88.058;57.382;30.676;49.037;30.956;18.081;6.365;4.452;1.913;30.881;21.020;9.861;1.775;954;821
;Pública;;40.698;24.786;15.912;38.923;23.832;15.091;. ;. ;. ;. ;. ;. ;1.775;954;821
;;Federal;32.493;20.847;11.646;30.718;19.893;10.825;. ;. ;. ;. ;. ;. ;1.775;954;821
;;Estadual;8.205;3.939;4.266;8.205;3.939;4.266;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;47.360;32.596;14.764;10.114;7.124;2.990;6.365;4.452;1.913;30.881;21.020;9.861;. ;. ;. 
;;Particular;45.096;32.490;12.606;10.114;7.124;2.990;4.452;4.452;. ;30.530;20.914;9.616;. ;. ;. 
;;Comun/Confes;2.264;106;2.158;. ;. ;. ;1.913;. ;1.913;351;106;245;. ;. ;. 
Amapá;;;18.363;15.899;2.464;6.249;5.662;587;. ;. ;. ;12.114;10.237;1.877;. ;. ;. 
;Pública;;6.249;5.662;587;6.249;5.662;587;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;4.488;3.901;587;4.488;3.901;587;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;1.761;1.761;. ;1.761;1.761;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;12.114;10.237;1.877;. ;. ;. ;. ;. ;. ;12.114;10.237;1.877;. ;. ;. 
