5 - Matrículas;;;;;;;;;;;;;;;;;
5.1 - Matrículas em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Matrículas em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
;Privada;;215.345;88.945;126.400;69.030;36.351;32.679;25.887;11.926;13.961;120.428;40.668;79.760;. ;. ;. 
;;Particular;177.291;62.100;115.191;43.494;17.509;25.985;20.580;7.714;12.866;113.217;36.877;76.340;. ;. ;. 
;;Comun/Confes;38.054;26.845;11.209;25.536;18.842;6.694;5.307;4.212;1.095;7.211;3.791;3.420;. ;. ;. 
Santa Catarina;;;198.724;33.522;165.202;133.203;26.509;106.694;14.539;40;14.499;49.755;6.272;43.483;1.227;701;526
;Pública;;71.493;24.700;46.793;67.170;23.999;43.171;3.096;. ;3.096;. ;. ;. ;1.227;701;526
;;Federal;21.377;20.543;834;20.150;19.842;308;. ;. ;. ;. ;. ;. ;1.227;701;526
;;Estadual;10.312;4.157;6.155;10.312;4.157;6.155;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;39.804;. ;39.804;36.708;. ;36.708;3.096;. ;3.096;. ;. ;. ;. ;. ;. 
;Privada;;127.231;8.822;118.409;66.033;2.510;63.523;11.443;40;11.403;49.755;6.272;43.483;. ;. ;. 
;;Particular;47.761;5.997;41.764;3.441;. ;3.441;3.733;. ;3.733;40.587;5.997;34.590;. ;. ;. 
;;Comun/Confes;79.470;2.825;76.645;62.592;2.510;60.082;7.710;40;7.670;9.168;275;8.893;. ;. ;. 
Rio Grande do Sul;;;342.275;82.125;260.150;231.693;51.304;180.389;46.523;10.627;35.896;61.888;20.194;41.694;2.171;. ;2.171
;Pública;;65.797;26.402;39.395;63.626;26.402;37.224;. ;. ;. ;. ;. ;. ;2.171;. ;2.171
;;Federal;63.773;26.197;37.576;61.602;26.197;35.405;. ;. ;. ;. ;. ;. ;2.171;. ;2.171
;;Estadual;2.024;205;1.819;2.024;205;1.819;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;276.478;55.723;220.755;168.067;24.902;143.165;46.523;10.627;35.896;61.888;20.194;41.694;. ;. ;. 
;;Particular;57.060;23.460;33.600;. ;. ;. ;6.135;3.826;2.309;50.925;19.634;31.291;. ;. ;. 
;;Comun/Confes;219.418;32.263;187.155;168.067;24.902;143.165;40.388;6.801;33.587;10.963;560;10.403;. ;. ;. 
;;;;;;;;;;;;;;;;;
Centro-Oeste;;;453.787;291.459;162.328;208.640;142.904;65.736;66.869;46.129;20.740;172.609;99.310;73.299;5.669;3.116;2.553
;Pública;;124.404;53.116;71.288;114.464;49.444;65.020;. ;. ;. ;4.271;556;3.715;5.669;3.116;2.553
;;Federal;74.607;51.285;23.322;68.938;48.169;20.769;. ;. ;. ;. ;. ;. ;5.669;3.116;2.553
;;Estadual;40.581;1.831;38.750;40.025;1.275;38.750;. ;. ;. ;556;556;. ;. ;. ;. 
;;Municipal;9.216;. ;9.216;5.501;. ;5.501;. ;. ;. ;3.715;. ;3.715;. ;. ;. 
;Privada;;329.383;238.343;91.040;94.176;93.460;716;66.869;46.129;20.740;168.338;98.754;69.584;. ;. ;. 
;;Particular;277.818;195.416;82.402;52.493;51.907;586;62.277;46.129;16.148;163.048;97.380;65.668;. ;. ;. 
;;Comun/Confes;51.565;42.927;8.638;41.683;41.553;130;4.592;. ;4.592;5.290;1.374;3.916;. ;. ;. 
;;;;;;;;;;;;;;;;;
Mato Grosso do Sul;;;65.141;30.264;34.877;41.786;23.811;17.975;9.812;2.864;6.948;13.543;3.589;9.954;. ;. ;. 
;Pública;;23.375;6.071;17.304;23.375;6.071;17.304;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Federal;16.450;5.859;10.591;16.450;5.859;10.591;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;6.925;212;6.713;6.925;212;6.713;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;41.766;24.193;17.573;18.411;17.740;671;9.812;2.864;6.948;13.543;3.589;9.954;. ;. ;. 
;;Particular;33.296;16.732;16.564;10.865;10.279;586;9.812;2.864;6.948;12.619;3.589;9.030;. ;. ;. 
;;Comun/Confes;8.470;7.461;1.009;7.546;7.461;85;. ;. ;. ;924;. ;924;. ;. ;. 
Mato Grosso;;;80.102;32.586;47.516;41.265;23.303;17.962;8.932;3.094;5.838;28.791;5.627;23.164;1.114;562;552
;Pública;;27.651;9.137;18.514;26.537;8.575;17.962;. ;. ;. ;. ;. ;. ;1.114;562;552
;;Federal;15.488;9.137;6.351;14.374;8.575;5.799;. ;. ;. ;. ;. ;. ;1.114;562;552
;;Estadual;12.163;. ;12.163;12.163;. ;12.163;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;52.451;23.449;29.002;14.728;14.728;. ;8.932;3.094;5.838;28.791;5.627;23.164;. ;. ;. 
;;Particular;50.992;23.409;27.583;14.728;14.728;. ;8.932;3.094;5.838;27.332;5.587;21.745;. ;. ;. 
;;Comun/Confes;1.459;40;1.419;. ;. ;. ;. ;. ;. ;1.459;40;1.419;. ;. ;. 
Goiás;;;158.224;78.289;79.935;78.681;48.882;29.799;13.263;5.309;7.954;61.725;21.544;40.181;4.555;2.554;2.001
;Pública;;50.942;15.472;35.470;42.672;12.918;29.754;. ;. ;. ;3.715;. ;3.715;4.555;2.554;2.001
;;Federal;20.789;14.409;6.380;16.234;11.855;4.379;. ;. ;. ;. ;. ;. ;4.555;2.554;2.001
;;Estadual;20.937;1.063;19.874;20.937;1.063;19.874;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Municipal;9.216;. ;9.216;5.501;. ;5.501;. ;. ;. ;3.715;. ;3.715;. ;. ;. 
;Privada;;107.282;62.817;44.465;36.009;35.964;45;13.263;5.309;7.954;58.010;21.544;36.466;. ;. ;. 
;;Particular;80.944;42.689;38.255;16.004;16.004;. ;8.671;5.309;3.362;56.269;21.376;34.893;. ;. ;. 
;;Comun/Confes;26.338;20.128;6.210;20.005;19.960;45;4.592;. ;4.592;1.741;168;1.573;. ;. ;. 
Distrito Federal;;;150.320;150.320;. ;46.908;46.908;. ;34.862;34.862;. ;68.550;68.550;. ;. ;. ;. 
;Pública;;22.436;22.436;. ;21.880;21.880;. ;. ;. ;. ;556;556;. ;. ;. ;. 
;;Federal;21.880;21.880;. ;21.880;21.880;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;;Estadual;556;556;. ;. ;. ;. ;. ;. ;. ;556;556;. ;. ;. ;. 
;;Municipal;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. ;. 
;Privada;;127.884;127.884;. ;25.028;25.028;. ;34.862;34.862;. ;67.994;67.994;. ;. ;. ;. 
;;Particular;112.586;112.586;. ;10.896;10.896;. ;34.862;34.862;. ;66.828;66.828;. ;. ;. ;. 
;;Comun/Confes;15.298;15.298;. ;14.132;14.132;. ;. ;. ;. ;1.166;1.166;. ;. ;. ;. 
;;;;;;;;;;;;;;;;;
Fonte: MEC/INEP/DEED;;;;;;;;;;;;;;;;;
IF/CEFET - Instituto Federal de Educação, Ciência e Tecnologia e Centro Federal de Educação Tecnológica;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
