IES_ID;IES_NAME
105;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE PATOS
106;FACULDADE DE EDUCACAO DE PATOS
107;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI
108;ESCOLA SUPERIOR DE EDUCACAO FISICA E TECNICAS DESPORTIVAS DE ANDRADINA
109;FACULDADES INTEGRADAS RUI BARBOSA
110;FACULDADE DE DIREITO DE SETE LAGOAS
111;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SETE LAGOAS
122;FACULDADE DE ENGENHARIA DE AGRIMENSURA DE ARARAQUARA
123;FACULDADE DE ENGENHARIA CIVIL DE ARARAQUARA
124;CENTRO UNIVERSITÁRIO DE ARARAQUARA
125;CENTRO UNIVERSITÁRIO DE ARARAS -
126;INSTITUTO NACIONAL DE TELECOMUNICAÇÕES
127;FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE ATIBAIA
128;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TEOFILO OTONI
129;FACULDADE DE DIREITO DE TEOFILO OTONI
130;FACULDADE DE ADMINISTRACAO DE TEOFILO OTONI
131;FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA
132;FACULDADE DE EDUCACAO ANTONIO AUGUSTO REIS NEVES
133;FACULDADE DE CIENCIAS CONTABEIS DE BARRETOS
134;FACULDADE DE TECNOLOGIA E PROCESSAMENTO DE DADOS BARRETOS
135;CENTRO UNIVERSITÁRIO CLARETIANO
136;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE BEBEDOURO
137;UNIVERSIDADE DO SAGRADO CORAÇÃO
138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ
139;FACULDADE DE CIÊNCIAS ECONÔMICAS DO TRIÂNGULO MINEIRO
140;UNIVERSIDADE SEVERINO SOMBRA
141;FACULDADE DE DIREITO DE VARGINHA - FADIVA
142;CENTRO UNIVERSITÁRIO DO TRIÂNGULO
143;UNIVERSIDADE DE UBERABA
144;FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA
145;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS
146;CENTRO UNIVERSITÁRIO DE RIO PRETO
149;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO
150;UNIVERSIDADE DE SOROCABA
151;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO
152;FACULDADE DE CIÊNCIAS CONTÁBEIS
158;CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO
159;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU
160;FACULDADE FRASSINETTI DO RECIFE
161;CENTRO UNIVERSITÁRIO ASSUNÇÃO
162;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO
163;UNIVERSIDADE ESTÁCIO DE SÁ
165;UNIVERSIDADE VEIGA DE ALMEIDA
166;FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO
167;UNIVERSIDADE METODISTA DE SÃO PAULO
170;FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA
171;FACULDADE DE DIREITO DO SUL DE MINAS
172;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS EUGENIO PACELLI
173;FACULDADE DE CIENCIAS MEDICAS DR JOSE ANTONIO GARCIA COUTINHO
174;INSTITUTO SUPERIOR DE ESTUDOS SOCIAIS CLOVIS BEVILACQUA
176;UNIVERSIDADE CASTELO BRANCO
177;FACULDADE DE CIENCIAS ECONOMICAS E DE ADMINISTRACAO DE EMPRESAS DE SAO JOSE DO RIO PRETO
178;FACULDADE DE ENGENHARIA DE SAO JOSE DO RIO PRETO
179;FACULDADE DE ARQUITETURA E URBANISMO DE SAO JOSE DO RIO PRETO
180;FACULDADE DE DIREITO DE CARUARU
181;FACULDADE DE ODONTOLOGIA DE CARUARU
190;ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES
191;FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS
192;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES
193;FACULDADE DE ENGENHARIA SOUZA MARQUES
194;ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES
195;FACULDADE MORAES JÚNIOR - MACKENZIE RIO
197;FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ
198;CENTRO UNIVERSITÁRIO DA CIDADE
199;FACULDADE SÃO LUÍS
200;FACULDADE CÁSPER LÍBERO
201;FACULDADE BRASILEIRA DE CIÊNCIAS JURÍDICAS
202;FACULDADE DE ECONOMIA E FINANÇAS DO RIO DE JANEIRO
203;UNIVERSIDADE SÃO JUDAS TADEU
206;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO
207;CENTRO UNIVERSITÁRIO MOURA LACERDA
208;UNIVERSIDADE DE RIBEIRÃO PRETO
210;FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SANTO ANDRE
211;FACULDADE DE CIENCIAS ECONOMICAS E ADMINISTRATIVAS DE SANTO ANDRE
212;FACULDADE DE FILOSOFIA DE CAMPO GRANDE
213;CENTRO UNIVERSITÁRIO FECAP
214;FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG
215;UNIVERSIDADE DO GRANDE ABC
216;CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX
217;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE
