HS 2002;HS 2007
0503;0511
0509;0511
1402;1404
1403;1404
2838;2842
2851;2853
4204;4205
4815;4811
5304;5305
6503;6505
7012;7020
7414;7419
7416;7419
7417;7418
7803;7806
7805;7806
7906;7907
8004;8007
8005;8007
8006;8007
8485;8487
8520;8519
8524;8523
9009;8443
9501;9503
9502;9503
9203;9205
9204;9205
