cod_regsaude;municipio
21007;210360
21007;210845
21007;211150
21007;211210
21008;210060
21008;210235
21008;210255
21008;210375
21008;210405
21008;210455
21008;210530
21008;210550
21008;210598
21008;210700
21008;210900
21008;210955
21008;211105
21008;211176
21008;211180
21009;210070
21009;210100
21009;210173
21009;210270
21009;210540
21009;210663
21009;210675
21009;210720
21009;210880
21009;210930
21009;211040
21009;211260
21009;211270
21009;211290
21010;210193
21010;210400
21010;210520
21010;210570
21010;210580
21010;210594
21010;210596
21010;210600
21010;210820
21010;210890
21010;211163
21010;211167
21010;211223
21011;210083
21011;210130
21011;210190
21011;210310
21011;210312
21011;210370
21011;210490
21011;210680
21011;210825
21011;210840
21011;210860
21011;210905
21011;210927
21011;210980
21011;211178
21011;211240
21011;211245
21012;210275
21012;210380
21012;210420
21012;210440
21012;210450
21012;210460
21012;210462
21012;210470
21012;210560
21012;210910
21012;210975
21012;211030
21012;211070
21012;211125
21012;211174
21012;211230
21013;210110
21013;210125
21007;213307
21013;210170
21013;210237
21013;210500
21013;210510
21013;210710
21013;210920
21013;210940
21013;210960
21013;211020
21013;211027
21014;210047
21014;210177
21014;210200
21014;210465
21014;210515
21014;210690
21014;210850
21014;210870
21014;210990
21014;211000
21014;211102
21014;211172
21014;211227
21015;210150
21015;210180
21015;210230
21015;210350
21015;210545
21015;210592
21015;210670
21015;210730
21015;210770
21015;210790
21015;210800
21015;211065
21015;211110
21015;211190
21015;211195
21016;210020
21016;210750
21016;210945
21016;211120
21016;211130
21017;210660
21017;210780
21017;211090
21017;211220
21018;210135
21018;210240
21018;210250
21018;210650
21018;210745
21018;210760
21018;210830
21018;211050
21018;211100
21018;211170
21018;211280
21019;210055
21019;210087
21019;210197
21019;210260
21019;210290
21019;210315
21019;210317
21019;210430
21019;210467
21019;210565
21019;210620
21019;210632
21019;210637
21019;210735
21019;210923
21019;211003
21019;211400
21013;211707
21000;210000
22001;220105
22001;220177
22001;220194
22001;220202
22001;220205
22001;220220
22001;220260
22001;220271
22001;220527
22001;220551
22001;220675
22001;220695
22001;220990
22001;221040
22001;221065
22002;220045
22002;220110
22002;220130
22002;220190
22002;220275
22002;220290
22002;220300
22002;220310
22002;220320
22002;220323
22002;220360
22002;220440
22002;220552
22002;220660
22002;220665
22002;220740
22002;220760
22002;220870
22002;220885
22002;220920
22002;220930
22002;220975
22002;221062
22003;220120
22003;220150
22003;220196
22003;220217
22003;220240
22003;220342
22003;220370
22003;220540
22003;220545
22003;220557
22003;220580
22003;220585
22003;220610
22003;220635
22003;220667
22003;220680
22003;220790
22003;220830
22003;220840
22003;220850
22003;220987
22003;220997
22003;221005
22004;220010
22004;220020
22004;220030
22004;220040
22004;220050
22004;220060
22004;220140
22004;220160
22004;220273
22004;220325
22004;220330
22004;220460
22004;220525
22004;220550
22004;220554
22004;220555
22004;220558
22004;220620
22004;220630
22004;220640
22004;220672
22004;220710
22004;220750
22004;220775
22004;220779
22004;220880
22004;220945
22004;220980
22004;221050
22004;221100
22004;221110
22005;220191
22005;220200
22005;220208
22005;220253
22005;220265
22005;220270
22005;220272
22005;220465
22005;220570
22005;220669
22005;220770
22006;220070
22006;220192
22006;220211
22006;220245
22006;220250
22006;220285
22006;220335
22006;220345
22006;220375
22006;220455
22006;220535
22006;220553
22006;220556
22006;220955
22006;221000
22006;221035
22006;221060
22006;221135
22007;220080
22007;220115
22007;220890
22007;221063
22007;221120
22008;220155
22008;220207
22008;220210
22008;220277
22008;220280
22008;220385
22008;220490
22008;220700
22008;220937
22008;220950
22008;220965
22008;220995
22008;221080
22008;221097
22009;220005
22009;220025
22009;220027
22009;220095
22009;220157
22009;220173
22009;220180
22009;220209
22009;220213
22009;220255
22009;220327
22009;220340
22009;220415
22009;220420
22009;220430
22009;220435
22009;220480
22009;220500
22009;220515
22009;220520
22009;220595
22009;220605
22009;220650
22009;220720
22009;220755
22009;220777
22009;220780
22009;220800
22009;220820
22009;220865
22009;220910
22009;220935
22009;220940
22009;220985
22009;221020
22009;221030
22009;221037
22009;221070
22009;221093
22009;221150
22009;221160
22009;221170
22010;220090
22010;220117
22010;220350
22010;220400
22010;220470
22010;220559
22010;220690
22010;220810
22010;220860
22010;220915
22010;220960
22010;221038
22010;221130
22010;221140
22011;220100
22011;220170
22011;220198
22011;220225
22011;220230
22011;220380
22011;220390
22011;220410
22011;220450
22011;220510
22011;220530
22011;220560
22011;220590
22011;220600
22011;220670
22011;220730
22011;220735
22011;220785
22011;220793
22011;220795
22011;220855
22011;220887
22011;220900
22011;220970
22011;221010
22011;221039
22011;221090
22011;221095
21000;219999
22000;220000
23001;230100
23001;230428
23001;230440
23001;230625
23002;230090
23002;230370
23002;230460
23002;230630
23002;231020
23002;231025
23002;231070
23002;231240
23002;231260
23002;231335
23003;230015
23003;230195
23003;230495
23003;230765
23003;230770
23003;230970
23003;231010
23003;231160
23004;230120
23004;230140
23004;230210
23004;230290
23004;230510
23004;230650
23004;230910
23004;230980
23005;230240
23005;230280
23005;230300
23005;230660
23005;230763
23005;231040
23006;230075
23006;230640
23006;230837
23006;231350
23006;231355
23006;231375
23006;231380
23007;230110
23007;230445
23007;230535
23007;230620
23008;230185
23008;230393
23008;230526
23008;230533
23008;230835
23008;231050
23008;231130
23008;231140
23008;231270
23008;231300
23009;230670
23009;230700
23009;230870
23009;231000
23009;231180
23010;230070
23010;230427
23010;230600
23010;230680
23010;230690
23010;230760
23010;231080
23010;231123
23010;231150
23010;231250
23010;231310
23011;230050
23011;230310
23011;230365
23011;230400
23011;230435
23011;230450
23011;230465
23011;230490
23011;230520
23011;230580
23011;230610
23011;230800
23011;230820
23011;230880
23011;230900
23011;230990
23011;231095
23011;231170
23011;231200
23011;231220
23011;231280
23011;231290
23011;231390
23011;231395
23012;230020
23012;230230
23012;230425
23012;230655
23012;230725
23012;230780
23012;230890
23013;230340
23013;230423
23013;230500
23013;230530
23013;231230
23013;231340
23013;231360
23013;231410
23014;230040
23014;230150
23014;231030
23014;231330
23015;230125
23015;230410
23015;230560
23015;230565
23015;230590
23015;230860
23015;230930
23015;230940
23015;231100
23015;231126
23015;231320
23016;230205
23016;230260
23016;230390
23016;230470
23016;230790
23017;230180
23017;230380
23017;230540
23017;230570
23017;230750
23017;230950
23017;231370
23018;230030
23018;230330
23018;230360
23018;230426
23018;230550
23018;230740
23018;230850
23018;231090
23018;231135
23018;231190
23019;230010
23019;230170
23019;230200
23019;230250
23019;230720
23019;230810
23019;230830
23019;231060
23019;231110
23020;230060
23020;230080
23020;230130
23020;230160
23020;230270
23020;230420
23020;230430
23020;230920
23020;231120
23020;231195
23020;231210
23020;231325
23020;231400
23021;230190
23021;230320
23021;230480
23021;230710
23021;230730
23021;230840
23022;230220
23022;230350
23022;230395
23022;230523
23022;230945
23022;230960
23022;231085
22000;229999
23000;230000
24001;240120
24001;240140
24001;240180
24001;240220
24001;240350
24001;240420
24001;240615
24001;240620
24001;240630
24001;240660
24001;240770
24001;240780
24001;240790
24001;240820
24001;240830
24001;240910
24001;240920
24001;240980
24001;241150
24001;241220
24001;241320
24001;241330
24001;241350
24001;241420
24001;241470
24001;241480
24001;241500
24002;240100
24002;240110
24002;240130
24002;240145
24002;240230
24002;240370
24002;240430
24002;240440
24002;240520
24002;240760
24002;240800
24002;241105
24002;241335
24002;241460
24003;240030
24003;240160
24003;240185
24003;240190
24003;240260
24003;240410
24003;240450
24003;240460
24003;240510
24003;240550
24003;240580
24003;240670
24003;240720
24003;240750
24003;240880
24003;240895
24003;240950
24003;240960
24003;240970
24003;241010
24003;241040
24003;241090
24003;241160
24003;241255
24003;241390
24003;241440
24004;240010
24004;240165
24004;240200
24004;240240
24004;240270
24004;240300
24004;240310
24004;240340
24004;240380
24004;240480
24004;240560
24004;240570
24004;240610
24004;240650
24004;240850
24004;240890
24004;241140
24004;241142
24004;241180
24004;241210
24004;241240
24004;241300
24004;241340
24004;241415
24004;241430
24005;240150
24005;240170
24005;240210
24005;240280
24005;240500
24005;240530
24005;240540
24005;240640
24005;240680
24005;240933
24005;241030
24005;241110
24005;241120
24005;241170
24005;241230
24005;241260
24005;241270
24005;241290
24005;241310
24005;241370
24005;241400
24006;240040
24006;240050
24006;240060
24006;240090
24006;240290
24006;240320
24006;240330
24006;240390
24006;240400
24006;240490
24006;240590
24006;240600
24006;240690
24006;240700
24006;240725
24006;240730
24006;240740
24006;240840
24006;240860
24006;240930
24006;240940
24006;241000
24006;241020
24006;241050
24006;241060
24006;241070
24006;241080
24006;241100
24006;241190
24006;241250
24006;241355
24006;241360
24006;241380
24006;241410
24006;241450
24006;241475
24006;241490
24007;240325
24007;240360
24007;240710
24007;240810
24007;241200
24008;240020
24008;240070
24008;240080
24008;240250
24008;240375
24008;240470
24008;240485
24008;240870
24008;240990
24008;241025
24008;241280
24008;241445
23000;239999
24000;240000
25001;250060
25001;250180
25001;250300
25001;250320
25001;250460
25001;250490
24000;249999
25001;250750
25001;250860
25001;250910
25001;251190
25001;251276
25001;251370
25001;251530
25001;251597
25001;257507
25002;250050
25002;250080
25002;250100
25002;250150
25002;250190
25002;250270
25002;250350
25002;250360
25002;250415
25002;250520
25002;250570
25002;250580
25002;250630
25002;250820
25002;250855
25002;250980
25002;251160
25002;251170
25002;251180
25002;251274
25002;251560
25002;251590
25002;251593
25002;251600
25002;251640
25003;250030
25003;250040
25003;250057
25002;250502
25003;250090
25003;250110
25003;250120
25003;250600
25003;250830
25003;250933
25003;250950
25003;251270
25003;251510
25004;250153
25004;250160
25004;250500
25004;250510
25004;250535
25004;250620
25004;251010
25004;251030
25004;251110
25004;251140
25004;251540
25004;251615
25005;250073
25005;250390
25005;250407
25005;250470
25005;250485
25005;250650
25005;250850
25005;250970
25005;251060
25005;251065
25005;251220
25005;251400
25005;251410
25005;251480
25005;251520
25005;251550
25005;251630
25005;251740
25006;250115
25006;250340
25006;250355
25006;250420
25006;250450
25006;250540
25006;250550
25006;250590
25006;250780
25006;250870
25006;250880
25006;250939
25006;251070
25006;251080
25006;251260
25006;251300
25006;251340
25006;251380
25006;251440
25006;251460
25006;251470
25006;251490
25006;251670
25006;251710
25007;250020
25007;250210
25007;250260
25007;250440
25007;250480
25007;250530
25007;250560
25007;250660
25007;250700
25007;251020
25007;251040
25007;251100
25007;251130
25007;251335
25007;251350
25007;251360
25007;251430
25007;251570
25008;250200
25008;250230
25008;250280
25008;250290
25008;250430
25008;250740
25008;250937
25008;251280
25008;251390
25008;251465
25009;250070
25009;250205
25009;250220
25009;250240
25009;250330
25009;250370
25009;250410
25009;250960
25009;251203
25009;251207
25009;251330
25009;251365
25009;251450
25009;251680
25009;251690
25010;250077
25010;250840
25010;250915
25010;251000
25010;251320
25010;251398
25010;251420
25010;251620
25010;251720
25011;250010
25011;250670
25011;250800
25011;250900
25011;251230
25011;251455
25011;251660
25012;250380
25012;250640
25012;250680
25012;250690
25012;250720
25012;250760
25012;250790
25012;250940
25012;251120
25012;251150
25012;251275
25012;251310
25012;251445
25012;251500
25013;250375
25013;250810
25013;251090
25013;251210
25013;251392
25013;251396
25014;250140
25014;250403
25014;250523
25014;250527
25014;250710
25014;250730
25014;250890
25014;250905
25014;250930
25014;251272
25014;251290
25015;250053
25015;250130
25015;250157
25015;250170
25015;250250
25015;250310
25015;250435
25015;250625
25015;250990
25015;251250
25015;251278
25015;251315
25015;251394
25015;251700
25016;250135
25016;250215
25003;250908
25016;250400
25016;250610
25016;250770
25016;250920
25016;251050
25016;251200
25016;251240
25016;251385
25016;251580
25016;251610
25016;251650
25016;251675
25016;254009
25000;250000
